module	scene	outcome	exception
_2020/med_test.py	MathAsDesign	tex_unsupported	TexError
_2020/med_test.py	MedicalTestsMatter	missing_asset	OSError
_2020/med_test.py	MentionPart2	missing_asset	OSError
_2020/med_test.py	MoreExamples	missing_asset	OSError
_2020/med_test.py	NewBayesRuleAndMedicalTests	missing_asset	OSError
_2020/med_test.py	NewContrastThreeContexts	missing_asset	OSError
_2020/med_test.py	NewSnazzyBayesRuleSteps	missing_asset	OSError
_2020/med_test.py	NinePercentOfNinety	ok	
_2020/med_test.py	OddsComments	missing_asset	OSError
_2020/med_test.py	OldBayesFactorCode	scene_code_error	NameError
_2020/med_test.py	OldGigerenzerMaterial	scene_code_error	NameError
_2020/med_test.py	PrevalenceVsPrior	missing_asset	OSError
_2020/med_test.py	ProbabilityVsOdds	missing_asset	OSError
_2020/med_test.py	QuickEstimatesAndMisconceptions	scene_code_error	TypeError
_2020/med_test.py	ReframeWhatTestsDo	missing_asset	OSError
_2020/med_test.py	RuleOfThumb	capability_refusal	NotImplementedError
_2020/med_test.py	SamplePopulation10PercentPrevalence	missing_asset	OSError
_2020/med_test.py	SamplePopulationBreastCancer	missing_asset	OSError
_2020/med_test.py	SamplePopulationOneInThousandPrevalence	timeout	
_2020/med_test.py	ShowContrastingMethods	ok	
_2020/med_test.py	Thumbnail1	missing_asset	OSError
_2020/med_test.py	Thumbnail2	ok	
_2020/med_test.py	Thumbnail3	missing_asset	OSError
_2020/med_test.py	Thumbnail4	ok	
_2020/med_test.py	TotalPopulationVsSymptomatic	timeout	
_2020/med_test.py	TwoMissteps	ok	
_2020/med_test.py	WhatAboutANegativeResult	missing_asset	OSError
_2020/med_test.py	WhatDoYouTellThem	ok	
_2020/med_test.py	WhyIsThisWrong	missing_asset	OSError
_2020/med_test.py	WhyTheBayesFactorTrickWorks	missing_asset	OSError
_2020/monster.py	AltThumbnail	missing_asset	OSError
_2020/monster.py	AmbientDodecSymmetries	ok	
_2020/monster.py	AmbientSnowflakeSymmetries	missing_asset	OSError
_2020/monster.py	AnalogyWithCounts	missing_asset	OSError
_2020/monster.py	AskAboutAllTheGroups	missing_asset	OSError
_2020/monster.py	AskAboutCubeDiagonals	scene_code_error	AttributeError
_2020/monster.py	AskAboutFavoriteMegaNumber	missing_asset	OSError
_2020/monster.py	AskWhatTheMonsterActsOn	missing_asset	OSError
_2020/monster.py	AutQ8	ok	
_2020/monster.py	ButWhy	missing_asset	OSError
_2020/monster.py	ClassificationOfSimpleGroups	scene_code_error	ValueError
_2020/monster.py	CommentOnNontrivialFactFromGroupDecomposition	missing_asset	OSError
_2020/monster.py	CubeRotations	scene_code_error	AttributeError
_2020/monster.py	EightShufflingsOfOrderThree	scene_code_error	ValueError
_2020/monster.py	ElementsAsAbstractions	missing_asset	OSError
_2020/monster.py	FrustratedAtGroups	missing_asset	OSError
_2020/monster.py	GroupsBeyondActions	scene_code_error	TypeError
_2020/monster.py	ImSorryWhat	missing_asset	OSError
_2020/monster.py	IntroduceGroupTheory	missing_asset	OSError
_2020/monster.py	IntroduceMonsterSize	scene_code_error	TypeError
_2020/monster.py	IntroduceSimpleGroups	scene_code_error	TypeError
_2020/monster.py	IsItUseful	missing_asset	OSError
_2020/monster.py	Isomorphism	scene_code_error	AttributeError
_2020/monster.py	IsomorphismWord	ok	
_2020/monster.py	MentionGroupsInPhysics	missing_asset	OSError
_2020/monster.py	MentionTheMonster	missing_asset	OSError
_2020/monster.py	MonsterQuotes	missing_asset	OSError
_2020/monster.py	MonstrousMoonshine	scene_code_error	TypeError
_2020/monster.py	MultiplicationTable	ok	
_2020/monster.py	NotGroupsGroupAction	ok	
_2020/monster.py	PermutationGroups	scene_code_error	ValueError
_2020/monster.py	QuadrupletShufflings	scene_code_error	ValueError
_2020/monster.py	QuinticImpliesCyclicDecomposition	portal_exception	TypeError
_2020/monster.py	RAddToRMult	scene_code_error	Exception
_2020/monster.py	S4WithMultipleChildren	missing_asset	OSError
_2020/monster.py	SolutionsToPolynomials	scene_code_error	TypeError
_2020/monster.py	StringTheory	missing_asset	OSError
_2020/monster.py	SymmetriesOfACube	scene_code_error	TypeError
_2020/monster.py	SymmetriesOfCirleAndLine	scene_code_error	TypeError
_2020/monster.py	TellMeTheresAChildrensBook	missing_asset	OSError
_2020/monster.py	ThisQuestionIsHard	scene_code_error	TypeError
_2020/monster.py	Thumbnail	missing_asset	OSError
_2020/monster.py	TwoStepsToAllFiniteGroups	portal_exception	TypeError
_2020/monster.py	UsualMultiplicationTable	scene_code_error	NameError
_2020/monster.py	WeirdCubeSymmetryUnderbrace	ok	
_2020/monster.py	WikiPageOnGroups	scene_code_error	Exception
_2020/monster.py	ZooOfGroups	missing_asset	OSError
_2020/patreon_tier_images.py	CircleDivisionImage	scene_code_error	AttributeError
_2020/patreon_tier_images.py	PatronImage1	scene_code_error	AttributeError
_2020/patreon_tier_images.py	PatronImage16	scene_code_error	AttributeError
_2020/patreon_tier_images.py	PatronImage163	scene_code_error	AttributeError
_2020/patreon_tier_images.py	PatronImage2	scene_code_error	AttributeError
_2020/patreon_tier_images.py	PatronImage256	scene_code_error	AttributeError
_2020/patreon_tier_images.py	PatronImage31	scene_code_error	AttributeError
_2020/patreon_tier_images.py	PatronImage4	scene_code_error	AttributeError
_2020/patreon_tier_images.py	PatronImage57	scene_code_error	AttributeError
